id,assert_type,subject,predicate,object
L10001,relationship,I1001,mentioned in,D10001
L10002,relationship,I1001,mentioned in,D10002
L10003,relationship,I1001,mentioned in,D10003
L10004,relationship,I1001,mentioned in,D70024
L10005,relationship,I1001,mentioned in,D10005
L10006,relationship,I1001,mentioned in,D10006
L10007,relationship,I1001,mentioned in,D10007
L10008,relationship,I1002,mentioned in,D10008
L10009,relationship,I1003,mentioned in,D10009
L10010,relationship,I1003,mentioned in,D10010
L10011,relationship,I1004,mentioned in,D140017
L10012,relationship,I1005,mentioned in,D10012
L10013,relationship,I1005,mentioned in,D10013
L10014,relationship,I1006,mentioned in,D10014
L10015,relationship,I1007,mentioned in,D160596
L10016,relationship,I1007,mentioned in,D10016
L10017,relationship,I1007,mentioned in,D10017
L10018,relationship,I1007,mentioned in,D80476
L10019,relationship,I1007,mentioned in,D10019
L10020,relationship,I1007,mentioned in,D10020
L10021,relationship,I1007,mentioned in,D130774
L10022,relationship,I1008,mentioned in,D10022
L10023,relationship,I1009,mentioned in,D10023
L10024,relationship,I1010,mentioned in,D160452
L10025,relationship,I1010,mentioned in,D10025
L10026,relationship,I1011,mentioned in,D230622
L10027,relationship,I1011,mentioned in,D10027
L10028,relationship,I1012,mentioned in,D140020
L10029,relationship,I1012,mentioned in,D10029
L10030,relationship,I1013,mentioned in,D10030
L10031,relationship,I1014,mentioned in,D10031
L10032,relationship,I1014,mentioned in,D160441
L10033,relationship,I1014,mentioned in,D10033
L10034,relationship,I1014,mentioned in,D10022
L10035,relationship,I1014,mentioned in,D10035
L10036,relationship,I1014,mentioned in,D160448
L10037,relationship,I1014,mentioned in,D80292
L10038,relationship,I1014,mentioned in,D130822
L10039,relationship,I1014,mentioned in,D10039
L10040,relationship,I1014,mentioned in,D160449
L10041,relationship,I1014,mentioned in,D160450
L10042,relationship,I1015,mentioned in,D170434
L10043,relationship,I1016,mentioned in,D10043
L10044,relationship,I1016,mentioned in,D190329
L10045,relationship,I1016,mentioned in,D110099
L10046,relationship,I1017,mentioned in,D80544
L10047,relationship,I1017,mentioned in,D10047
L10048,relationship,I1017,mentioned in,D70275
L10049,relationship,I1018,mentioned in,D10049
L10050,relationship,I1018,mentioned in,D10050
L10051,relationship,I1018,mentioned in,D10051
L10052,relationship,I1018,mentioned in,D80133
L10053,relationship,I1018,mentioned in,D10053
L10054,relationship,I1019,mentioned in,D170585
L10055,relationship,I1020,mentioned in,D190088
L10056,relationship,I1020,mentioned in,D10056
L10057,relationship,I1020,mentioned in,D10057
L10058,relationship,I1020,mentioned in,D10058
L10059,relationship,I1020,mentioned in,D20901
L10060,relationship,I1020,mentioned in,D10060
L10061,relationship,I1020,mentioned in,D30215
L10062,relationship,I1020,mentioned in,D10062
L10063,relationship,I1021,mentioned in,D130335
L10064,relationship,I1022,mentioned in,D10064
L10065,relationship,I1022,mentioned in,D10065
L10066,relationship,I1022,mentioned in,D60363
L10067,relationship,I1023,mentioned in,D140001
L10068,relationship,I1023,mentioned in,D10068
L10069,relationship,I1023,mentioned in,D10069
L10070,relationship,I1023,mentioned in,D10070
L10071,relationship,I1024,mentioned in,D10071
L10072,relationship,I1025,mentioned in,D10072
L10073,relationship,I1026,mentioned in,D10073
L10074,relationship,I1026,mentioned in,D10074
L10075,relationship,I1026,mentioned in,D10075
L10076,relationship,I1026,mentioned in,D10076
L10077,relationship,I1026,mentioned in,D170114
L10078,relationship,I1027,mentioned in,D170545
L10079,relationship,I1027,mentioned in,D10079
L10080,relationship,I1028,mentioned in,D10080
L10081,relationship,I1028,mentioned in,D10081
L10082,relationship,I1029,mentioned in,D10082
L10083,relationship,I1029,mentioned in,D10083
L10084,relationship,I1029,mentioned in,D10084
L10085,relationship,I1029,mentioned in,D10085
L10086,relationship,I1030,mentioned in,D10086
L10087,relationship,I1030,mentioned in,D10087
L10088,relationship,I1030,mentioned in,D10088
L10089,relationship,I1030,mentioned in,D10089
L10090,relationship,I1030,mentioned in,D10090
L10091,relationship,I1030,mentioned in,D10091
L10092,relationship,I1031,mentioned in,D10092
L10093,relationship,I1031,mentioned in,D10093
L10094,relationship,I1031,mentioned in,D10094
L10095,relationship,I1031,mentioned in,D10095
L10096,relationship,I1031,mentioned in,D50126
L10097,relationship,I1031,mentioned in,D170531
L10098,relationship,I1031,mentioned in,D10098
L10099,relationship,I1032,mentioned in,D10099
L10100,relationship,I1033,mentioned in,D190764
L10101,relationship,I1033,mentioned in,D10101
L10102,relationship,I1033,mentioned in,D10102
L10103,relationship,I1033,mentioned in,D10103
L10104,relationship,I1033,mentioned in,D80326
L10105,relationship,I1033,mentioned in,D10105
L10106,relationship,I1033,mentioned in,D10106
L10107,relationship,I1034,mentioned in,D10107
L10108,relationship,I1035,mentioned in,D10108
L10109,relationship,I1035,mentioned in,D10109
L10110,relationship,I1036,mentioned in,D10110
L10111,relationship,I1036,mentioned in,D10111
L10112,relationship,I1036,mentioned in,D10112
L10113,relationship,I1036,mentioned in,D190858
L10114,relationship,I1036,mentioned in,D140233
L10115,relationship,I1037,mentioned in,D10115
L10116,relationship,I1037,mentioned in,D21383
L10117,relationship,I1037,mentioned in,D10117
L10118,relationship,I1037,mentioned in,D10118
L10119,relationship,I1037,mentioned in,D10119
L10120,relationship,I1037,mentioned in,D30435
L10121,relationship,I1037,mentioned in,D170227
L10122,relationship,I1038,mentioned in,D10122
L10123,relationship,I1039,mentioned in,D191321
L10124,relationship,I1040,mentioned in,D30688
L10125,relationship,I1040,mentioned in,D30689
L10126,relationship,I1040,mentioned in,D30690
L10127,relationship,I1041,mentioned in,D140240
L10128,relationship,I1042,mentioned in,D10128
L10129,relationship,I1042,mentioned in,D30073
L10130,relationship,I1042,mentioned in,D190141
L10131,relationship,I1042,mentioned in,D140058
L10132,relationship,I1043,mentioned in,D20867
L10133,relationship,I1044,mentioned in,D170226
L10135,relationship,I1045,mentioned in,D10135
L10136,relationship,I1045,mentioned in,D20133
L10137,relationship,I1045,mentioned in,D10137
L10138,relationship,I1045,mentioned in,D10138
L10139,relationship,I1045,mentioned in,D10139
L10140,relationship,I1045,mentioned in,D10140
L10141,relationship,I1045,mentioned in,D110216
L10142,relationship,I1045,mentioned in,D140146
L10143,relationship,I1045,mentioned in,D190091
L10144,relationship,I1046,mentioned in,D10144
L10145,relationship,I1046,mentioned in,D10145
L10146,relationship,I1047,mentioned in,D10144
L10147,relationship,I1047,mentioned in,D10147
L10148,relationship,I1047,mentioned in,D10148
L10149,relationship,I1047,mentioned in,D10149
L10150,relationship,I1047,mentioned in,D10150
L10151,relationship,I1047,mentioned in,D10151
L10152,relationship,I1047,mentioned in,D170030
L10153,relationship,I1047,mentioned in,D170031
L10154,relationship,I1048,mentioned in,D10154
L10155,relationship,I1049,mentioned in,D10155
L10156,relationship,I1050,mentioned in,D80870
L10157,relationship,I1050,mentioned in,D120483
L10158,relationship,I1050,mentioned in,D10158
L10159,relationship,I1051,mentioned in,D10159
L10160,relationship,I1052,mentioned in,D10160
L10162,relationship,I1053,mentioned in,D10083
L10163,relationship,I1053,mentioned in,D10163
L10164,relationship,I1053,mentioned in,D191487
L10165,relationship,I1053,mentioned in,D130366
L10166,relationship,I1054,mentioned in,D190917
L10167,relationship,I1054,mentioned in,D10167
L10168,relationship,I1054,mentioned in,D10168
L10169,relationship,I1055,mentioned in,D10169
L10170,relationship,I1056,mentioned in,D10170
L10171,relationship,I1057,mentioned in,D10171
L10172,relationship,I1057,mentioned in,D10172
L10173,relationship,I1057,mentioned in,D10173
L10174,relationship,I1057,mentioned in,D10174
L10175,relationship,I1057,mentioned in,D10175
L10176,relationship,I1058,mentioned in,D10176
L10177,relationship,I1059,mentioned in,D10177
L10178,relationship,I1060,mentioned in,D10178
L10179,relationship,I1060,mentioned in,D10179
L10180,relationship,I1060,mentioned in,D170332
L10181,relationship,I1060,mentioned in,D160603
L10182,relationship,I1061,mentioned in,D160556
L10183,relationship,I1061,mentioned in,D10183
L10184,relationship,I1061,mentioned in,D10184
L10185,relationship,I1061,mentioned in,D10185
L10186,relationship,I1061,mentioned in,D160551
L10187,relationship,I1062,mentioned in,D140039
L10188,relationship,I1063,mentioned in,D10188
L10189,relationship,I1064,mentioned in,D10189
L10190,relationship,I1065,mentioned in,D10190
L10191,relationship,I1066,mentioned in,D20412
L10192,relationship,I1066,mentioned in,D60143
L10193,relationship,I1066,mentioned in,D10193
L10194,relationship,I1066,mentioned in,D10194
L10195,relationship,I1066,mentioned in,D170248
L10196,relationship,I1067,mentioned in,D10196
L10198,relationship,I1069,mentioned in,D10198
L10199,relationship,I1070,mentioned in,D10199
L10200,relationship,I1070,mentioned in,D10200
L10201,relationship,I1071,mentioned in,D130512
L10202,relationship,I1072,mentioned in,D10202
L10203,relationship,I1072,mentioned in,D10203
L10204,relationship,I1072,mentioned in,D110409
L10205,relationship,I1073,mentioned in,D10205
L10206,relationship,I1074,mentioned in,D90041
L10207,relationship,I1074,mentioned in,D10207
L10208,relationship,I1074,mentioned in,D10208
L10209,relationship,I1074,mentioned in,D10209
L10211,relationship,I1075,mentioned in,D160493
L10212,relationship,I1075,mentioned in,D130797
L10213,relationship,I1075,mentioned in,D20279
L10214,relationship,I1075,mentioned in,D10214
L10215,relationship,I1075,mentioned in,D190570
L10216,relationship,I1076,mentioned in,D10216
L10217,relationship,I1077,mentioned in,D10217
L10218,relationship,I1077,mentioned in,D10218
L10219,relationship,I1078,mentioned in,D10219
L10220,relationship,I1078,mentioned in,D230549
L10221,relationship,I1078,mentioned in,D10221
L10222,relationship,I1079,mentioned in,D10222
L10223,relationship,I1079,mentioned in,D10223
L10224,relationship,I1079,mentioned in,D130566
L10225,relationship,I1079,mentioned in,D10225
L10226,relationship,I1080,mentioned in,D10226
L10227,relationship,I1081,mentioned in,D10227
L10228,relationship,I1082,mentioned in,D10235
L10229,relationship,I1082,mentioned in,D10229
L10230,relationship,I1082,mentioned in,D10230
L10231,relationship,I1082,mentioned in,D40274
L10232,relationship,I1082,mentioned in,D50236
L10233,relationship,I1082,mentioned in,D10233
L10234,relationship,I1082,mentioned in,D10234
L10235,relationship,I1083,mentioned in,D10235
L10236,relationship,I1084,mentioned in,D30545
L10237,relationship,I1084,mentioned in,D10237
L10238,relationship,I1084,mentioned in,D10238
L10239,relationship,I1085,mentioned in,D21041
L10240,relationship,I1086,mentioned in,D10240
L10242,relationship,I1086,mentioned in,D10242
L10243,relationship,I1086,mentioned in,D20470
L10244,relationship,I1086,mentioned in,D30484
L10245,relationship,I1086,mentioned in,D10245
L10246,relationship,I1086,mentioned in,D10246
L10247,relationship,I1086,mentioned in,D130831
L10248,relationship,I1086,mentioned in,D170055
L10249,relationship,I1087,mentioned in,D10249
L10250,relationship,I1087,mentioned in,D170451
L10251,relationship,I1087,mentioned in,D170440
L10252,relationship,I1087,mentioned in,D170439
L10253,relationship,I1087,mentioned in,D60408
L10254,relationship,I1087,mentioned in,D10254
L10255,relationship,I1087,mentioned in,D10255
L10256,relationship,I1087,mentioned in,D10256
L10257,relationship,I1087,mentioned in,D170428
L10258,relationship,I1087,mentioned in,D170431
L10259,relationship,I1087,mentioned in,D170433
L10260,relationship,I1088,mentioned in,D10260
L10261,relationship,I1089,mentioned in,D10262
L10262,relationship,I1090,mentioned in,D10262
L10263,relationship,I1091,mentioned in,D10263
L10264,relationship,I1092,mentioned in,D10264
L10265,relationship,I1093,mentioned in,D230860
L10266,relationship,I1094,mentioned in,D60148
L10267,relationship,I1094,mentioned in,D10267
L10268,relationship,I1095,mentioned in,D10268
L10269,relationship,I1096,mentioned in,D170051
L10270,relationship,I1096,mentioned in,D10270
L10272,relationship,I1096,mentioned in,D130590
L10273,relationship,I1096,mentioned in,D10271
L10274,relationship,I1096,mentioned in,D120331
L10275,relationship,I1096,mentioned in,D130743
L10276,relationship,I1096,mentioned in,D170120
L10277,relationship,I1097,mentioned in,D10277
L10278,relationship,I1097,mentioned in,D10278
L10279,relationship,I1097,mentioned in,D10279
L10280,relationship,I1097,mentioned in,D10280
L10281,relationship,I1097,mentioned in,D170393
L10282,relationship,I1098,mentioned in,D30679
L10283,relationship,I1099,mentioned in,D10283
L10284,relationship,I1100,mentioned in,D10284
L10285,relationship,I1101,mentioned in,D10285
L10286,relationship,I1102,mentioned in,D191289
L10287,relationship,I1102,mentioned in,D230098
L10288,relationship,I1103,mentioned in,D10288
L10289,relationship,I1103,mentioned in,D10289
L10290,relationship,I1104,mentioned in,D140075
L10291,relationship,I1104,mentioned in,D10291
L10292,relationship,I1104,mentioned in,D140140
L10293,relationship,I1104,mentioned in,D140141
L10294,relationship,I1105,mentioned in,D191472
L10295,relationship,I1106,mentioned in,D130239
L10296,relationship,I1107,mentioned in,D10296
L10298,relationship,I1107,mentioned in,D191472
L10299,relationship,I1108,mentioned in,D10299
L10300,relationship,I1108,mentioned in,D10300
L10301,relationship,I1108,mentioned in,D10301
L10302,relationship,I1108,mentioned in,D191472
L10303,relationship,I1109,mentioned in,D70036
L10304,relationship,I1110,mentioned in,D10304
L10305,relationship,I1111,mentioned in,D10305
L10306,relationship,I1111,mentioned in,D10306
L10307,relationship,I1112,mentioned in,D10307
L10308,relationship,I1113,mentioned in,D10013
L10309,relationship,I1114,mentioned in,D170376
L10310,relationship,I1115,mentioned in,D10310
L10311,relationship,I1115,mentioned in,D10311
L10312,relationship,I1116,mentioned in,D10312
L10313,relationship,I1116,mentioned in,D10313
L10314,relationship,I1117,mentioned in,D10314
L10315,relationship,I1117,mentioned in,D160010
L10316,relationship,I1117,mentioned in,D230508
L10317,relationship,I1117,mentioned in,D90042
L10318,relationship,I1117,mentioned in,D10318
L10319,relationship,I1117,mentioned in,D160137
L10320,relationship,I1117,mentioned in,D10320
L10321,relationship,I1118,mentioned in,D10321
L10322,relationship,I1118,mentioned in,D191472
L10324,relationship,I1120,mentioned in,D190648
L20001,relationship,I2001,mentioned in,D20001
L20002,relationship,I2001,mentioned in,D130769
L20003,relationship,I2001,mentioned in,D20003
L20004,relationship,I2001,mentioned in,D20004
L20005,relationship,I2001,mentioned in,D20005
L20007,relationship,I2001,mentioned in,D160432
L20008,relationship,I2001,mentioned in,D30558
L20009,relationship,I2001,mentioned in,D250015
L20010,relationship,I2001,mentioned in,D20010
L20011,relationship,I2001,mentioned in,D20011
L20012,relationship,I2001,mentioned in,D20012
L20013,relationship,I2001,mentioned in,D20613
L20014,relationship,I2001,mentioned in,D20014
L20015,relationship,I2001,mentioned in,D21164
L20016,relationship,I2001,mentioned in,D20016
L20017,relationship,I2001,mentioned in,D20017
L20018,relationship,I2001,mentioned in,D20018
L20019,relationship,I2001,mentioned in,D20019
L20020,relationship,I2001,mentioned in,D40059
L20022,relationship,I2001,mentioned in,D20022
L20023,relationship,I2001,mentioned in,D20023
L20024,relationship,I2001,mentioned in,D20024
L20025,relationship,I2001,mentioned in,D20025
L20026,relationship,I2001,mentioned in,D120232
L20027,relationship,I2001,mentioned in,D20027
L20028,relationship,I2001,mentioned in,D20028
L20029,relationship,I2002,mentioned in,D20963
L20030,relationship,I2002,mentioned in,D140127
L20031,relationship,I2002,mentioned in,D110507
L20032,relationship,I2002,mentioned in,D110515
L20033,relationship,I2002,mentioned in,D20033
L20034,relationship,I2002,mentioned in,D20034
L20035,relationship,I2002,mentioned in,D20035
L20036,relationship,I2003,mentioned in,D20807
L20037,relationship,I2003,mentioned in,D20037
L20038,relationship,I2003,mentioned in,D160107
L20039,relationship,I2003,mentioned in,D160063
L20040,relationship,I2003,mentioned in,D160009
L20041,relationship,I2003,mentioned in,D20041
L20042,relationship,I2003,mentioned in,D140110
L20043,relationship,I2003,mentioned in,D140111
L20044,relationship,I2003,mentioned in,D140136
L20045,relationship,I2003,mentioned in,D20045
L20046,relationship,I2003,mentioned in,D20046
L20047,relationship,I2003,mentioned in,D20047
L20048,relationship,I2003,mentioned in,D120279
L20049,relationship,I2003,mentioned in,D20049
L20050,relationship,I2003,mentioned in,D20050
L20051,relationship,I2003,mentioned in,D20051
L20052,relationship,I2003,mentioned in,D20052
L20053,relationship,I2003,mentioned in,D20053
L20054,relationship,I2003,mentioned in,D20054
L20055,relationship,I2003,mentioned in,D110576
L20056,relationship,I2003,mentioned in,D20056
L20057,relationship,I2003,mentioned in,D140237
L20058,relationship,I2003,mentioned in,D20058
L20059,relationship,I2003,mentioned in,D20059
L20060,relationship,I2003,mentioned in,D20060
L20061,relationship,I2003,mentioned in,D20061
L20062,relationship,I2003,mentioned in,D110089
L20063,relationship,I2003,mentioned in,D20063
L20064,relationship,I2003,mentioned in,D20064
L20065,relationship,I2003,mentioned in,D20065
L20066,relationship,I2003,mentioned in,D20066
L20067,relationship,I2003,mentioned in,D20067
L20068,relationship,I2003,mentioned in,D90197
L20069,relationship,I2003,mentioned in,D20069
L20071,relationship,I2003,mentioned in,D20071
L20072,relationship,I2003,mentioned in,D20072
L20073,relationship,I2003,mentioned in,D80308
L20074,relationship,I2003,mentioned in,D20074
L20075,relationship,I2003,mentioned in,D20075
L20076,relationship,I2003,mentioned in,D80044
L20077,relationship,I2003,mentioned in,D20077
L20078,relationship,I2003,mentioned in,D20078
L20079,relationship,I2003,mentioned in,D20079
L20080,relationship,I2003,mentioned in,D20080
L20081,relationship,I2003,mentioned in,D20081
L20082,relationship,I2003,mentioned in,D20082
L20083,relationship,I2003,mentioned in,D20083
L20084,relationship,I2003,mentioned in,D20084
L20085,relationship,I2003,mentioned in,D70077
L20086,relationship,I2003,mentioned in,D20086
